accession	name in vcf	include in map	include in network	include in admixture	admixture_expanded	big_admix?	selection scan pop	admix pop	network color	population	population	latitude	longitude	ploidy_man_curated	nquire ploidy	proportion_het%_to_NT1	Number_S_haplogroups	Species_fin	source	source_type	snps (2n)	collector, comments	admix	twisst Siberia	selection_test	est-sfs	demographic modeling pops	file to upload	ENA accession				
ERR3514892	ERR3514892_4n	yes	yes	no	yes	yes		ERR3514893		Central_Europe_4n	Central_Europe_4n	48.27428	15.39301	4	4	0,60	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514892				
ERR3514893	ERR3514893_4n	yes	yes	no	yes	yes		ERR3514893		Central_Europe_4n	Central_Europe_4n	48.27428	15.39301	4	4	0,63	3	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514893				
ERR3514895	ERR3514895_4n	yes	yes	no	yes	yes		ERR3514895		Central_Europe_4n	Central_Europe_4n	48.34031	15.40085	4	4	0,70	4	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514895				
ERR3514896	ERR3514896_4n	yes	yes	no	yes	yes		ERR3514895		Central_Europe_4n	Central_Europe_4n	48.34031	15.40085	4	4	0,69	4	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514896				
ERR3514897	ERR3514897	yes	yes	no	yes	yes		ERR3514898		Austria_2n	Central_Europe_2n	47.97978	16.16374	2	2	0,27	1	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514897				
ERR3514898	ERR3514898	yes	yes	no	yes	yes		ERR3514898		Austria_2n	Central_Europe_2n	47.97978	16.16374	2	2	0,34	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514898				
ERR3514899	ERR3514899	yes	yes	no	yes	yes		ERR3514898		Austria_2n	Central_Europe_2n	47.97978	16.16374	2	2	0,34	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514899				
ERR4235088	ERR4235088	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,37	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235088				
ERR4235089	ERR4235089	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,31	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235089				
ERR4235090	ERR4235090	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,35	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235090				
ERR4235091	ERR4235091	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,37	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235091				
ERR4235092	ERR4235092	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,32	1	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235092				
ERR4235093	ERR4235093	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,37	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235093				
ERR4235094	ERR4235094	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,36	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235094				
ERR4235095	ERR4235095	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,34	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235095				
ERR4235096	ERR4235096	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,32	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235096				
ERR4235097	ERR4235097	yes	yes	no	yes	yes		ERR4235091		Germany_2n	Central_Europe_2n	49.65	11.45	2	2	0,34	1	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR4235097				
IRK-ID2040	IRK-ID2040	yes	yes	yes	yes	yes	CESiberia_2n	IRK-ID2040	orange?	CESiberia_2n	East_Siberia_2n	51.92833	102.42666	2	2	0,43	2	A. lyrata	Institute SIPPB SB RAS	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_05/01.RawData/P5717_A/*fq.gz	ERS18382732				
IRK-ID27652	IRK-ID27652	yes	yes	yes	yes	yes	CESiberia_2n	IRK-ID27652	orange?	CESiberia_2n	East_Siberia_2n	58.7	103.0	2	2	0,33	1	A. lyrata	Institute SIPPB SB RAS	herbarium							CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_M/*fq.gz	ERS18382733				
IRK-ID51710	2:IRK-ID51710	yes	yes	no	no	yes		2:IRK-ID51710	selfer	selfer	East_Siberia_SC	52	102	2	4	0,00	1	A. lyrata	Institute SIPPB SB RAS	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_Q/*fq.gz	ERS18382734				
IRK-ID51711	2:IRK-ID51711	yes	yes	yes	yes	yes	CESiberia_2n	2:IRK-ID51711	orange?	CESiberia	East_Siberia_2n	51.90944	102.41111	unsure	4	0,28	2	A. lyrata	Institute SIPPB SB RAS	herbarium							CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_P/*fq.gz	ERS18382735				
IRK-ID51712	2:IRK-ID51712	yes	yes	yes	yes	yes	CESiberia_2n	2:IRK-ID51712	orange?	CESiberia	East_Siberia_2n	51.93250	102.42278	unsure	3	0,38	2	A. lyrata	Institute SIPPB SB RAS	herbarium							CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_O/*fq.gz	ERS18382736				
IRK-ID61141	IRK-ID61141	yes	yes	yes	yes	yes	CESiberia_2n	IRK-ID61141	orange?	CESiberia_2n	East_Siberia_2n	51.94167	102.42056	2	2	0,42	2	A. lyrata	Institute SIPPB SB RAS	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_N/*fq.gz	ERS18382737				
IRK-STAN	IRK-STAN	yes	yes	yes	yes	yes	CESiberia_2n	IRK-STAN	orange?	CESiberia_2n	exclude	55.5	112.7	2	2	0,43	1	A. lyrata	Institute SIPPB SB RAS	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_S/*fq.gz	ERS18382738				
IRKU048360	IRKU048360	yes	yes	yes	yes	yes	CESiberia_2n	IRKU048360	orange?	CESiberia	East_Siberia_2n	51.91752	102.721848	unsure	2	0,51	2	A. lyrata	Irkutsk State University	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_05/01.RawData/P5717_A/*fq.gz	ERS18382739				
IRKU049793	IRKU049793_4n	yes	yes	yes	yes	yes	CESiberia_4n	IRKU049793_4n	orange?	CESiberia_4n	exclude	57.5	116.55	4	4	0,80	2	A. lyrata	Irkutsk State University	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_05/01.RawData/P5717_B/*fq.gz	ERS18382740				
IRKU049797	IRKU049797_4n	yes	yes	yes	yes	yes	CESiberia_4n	IRKU049797_4n	orange?	CESiberia_4n	Central_Siberia_4n	51.94	102.7	4	4	0,48	3	A. lyrata	Irkutsk State University	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_E/*fq.gz	ERS18382741				
IRKU049798	IRKU049798	yes	yes	yes	yes	yes	CESiberia_2n	IRKU049798	orange?	CESiberia_2n	East_Siberia_2n	51.94	102.7	2	2	0,43	2	A. lyrata	Irkutsk State University	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_F/*fq.gz	ERS18382742				
IRKU049802	IRKU049802	yes	yes	yes	yes	yes		IRKU049802	yellow	exclude	exclude	72.5	105.17	unsure	2	0,42	3	A. lyrata	Irkutsk State University	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_G/*fq.gz	ERS18382743				
IRKU049803	IRKU049803_4n	yes	yes	yes	yes	yes	CESiberia_4n	IRKU049803_4n	yellow	CS_4n	Central_Siberia_4n	75.375	105.366666	4	4	0,61	4	A. lyrata	Irkutsk State University	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_H/*fq.gz	ERS18382744				
IRKU049804	IRKU049804	yes	yes	yes	yes	yes	CESiberia_2n	IRKU049804	yellow	CS_2n	Central_Siberia_2n	72.5	105.17	2	2	0,48	2	A. lyrata	Irkutsk State University	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_I/*fq.gz	ERS18382745				
IRKU084814	IRKU084814	yes	yes	yes	yes	yes	CESiberia_2n	IRKU084814	orange?	CESiberia_2n	East_Siberia_2n	51.970047	102.448011	2	2	0,41	2	A. lyrata	Irkutsk State University	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_03/01.RawData/P5717_K/*fq.gz	ERS18382746				
MN_47	MN_47	yes	yes	no	no	yes		MN_47	selfer	NA_2n	North_America_2n	43	-84	2	4	0,14	1	A. lyrata		seeds								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/MN_47_1.fq.gz	ERS18382747				
MW0079456	MW0079456	yes	yes	no	no	yes		MW0079456	selfer	selfer	East_Siberia_SC	69.631288	168.432929	2	3	0,05	1	A. lyrata	Kolesnikova et al. 2023	published	cohort2		y					published	ERS10113953				
MW0079460_2	MW0079460_2	no	yes	no	no				kam	kamchatica	A. kamchatica	64.789932	166.465907	4	2	0,74	2	A. kamchatica	Kolesnikova et al. 2023	published								published	ERS14775780				
MW0079466	MW0079466	yes	yes	no	no	yes		MW0079466	n/a	n/a	n/a	69.474793	166.586866	2	2	0,27	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			published	ERS10113964				
MW0079467_1	MW0079467_1	yes	yes	yes	yes	yes	CESiberia_2n	MW0079467_1	orange	ES_2n	East_Siberia_2n	69.474793	166.61	2	3	0,37	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079467_1_1.fq.gz	ERS18382748				
MW0079469	MW0079469	no	yes	no	no				kam	kamchatica	A. kamchatica	64.682017	170.419199	4	2	0,55	3	A.kamchatica x lyrata?	Kolesnikova et al. 2023	published								published	ERS14775766				
MW0079469_2	MW0079469_2	no	yes	no	no				kam	kamchatica	A. kamchatica	64.682017	170.419199	4	2	0,71	2	A. kamchatica	Kolesnikova et al. 2023	published								published	ERS14775781				
MW0079472	MW0079472_4n	yes	no	no	no				exclude	exclude	exclude	63.13195	144.676274	unsure	4	0,36	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		tetra			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a93	ERS18382749				
MW0079473_1	MW0079473_1	yes	yes	yes	yes	yes	CESiberia_2n	MW0079473_1	orange	ES_2n	East_Siberia_2n	63.13195	144.676274	2	4	0,42	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079473_1_1.fq.gz	ERS18382750				
MW0079478	MW0079478	yes	yes	yes	yes	yes		MW0079478	green_zeysky	SES_2n	Amur_Basin_2n	54.012285	127.423313	2	2	0,31	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a71	ERS18382751				
MW0079478_3	MW0079478_3	yes	yes	yes	yes	yes		MW0079478	green_zeysky	SES_2n	Amur_Basin_2n	54.012285	127.423313	2	3	0,35	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079478_3_1.fq.gz	ERS18382752				
MW0079479	MW0079479	yes	yes	yes	yes	yes		MW0079479	green_zeysky	SES_2n	Amur_Basin_2n	53.910706	127.414687	2	2	0,33	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a74	ERS18382753				
MW0079480	MW0079480	yes	yes	yes	yes	yes		MW0079480	green_zeysky	SES_2n	Amur_Basin_2n	53.880491	127.413271	2	2	0,33	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a75	ERS18382754				
MW0079480_3	MW0079480_3	yes	yes	yes	yes	yes		MW0079480	green_zeysky	SES_2n	Amur_Basin_2n	53.880491	127.413271	2	2	0,43	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079480_3_1.fq.gz	ERS18382755				
MW0079481	MW0079481	yes	yes	yes	yes	yes		MW0079481	green_zeysky	SES_2n	Amur_Basin_2n	54.328725	126.814736	2	2	0,30	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a70	ERS18382756				
MW0079481_2	MW0079481_2	yes	yes	yes	yes	yes		MW0079481	green_zeysky	SES_2n	Amur_Basin_2n	54.328725	126.814736	2	2	0,40	1	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079481_2_1.fq.gz	ERS18382757				
MW0079482	MW0079482	yes	yes	yes	yes	yes		MW0079482	green_zeysky	SES_2n	Amur_Basin_2n	54.006938	127.412327	2	2	0,32	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a72	ERS18382758				
MW0079482_2	MW0079482_2	yes	yes	yes	yes	yes		MW0079482	green_zeysky	SES_2n	Amur_Basin_2n	54.006938	127.412327	2	2	0,40	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079482_2_1.fq.gz	ERS18382759				
MW0079483	MW0079483	yes	yes	yes	yes	yes		MW0079483	green_zeysky	SES_2n	Amur_Basin_2n	53.983663	127.465556	2	2	0,34	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a73	ERS18382760				
MW0079484_2	MW0079484_2	yes	yes	yes	yes	yes		MW0079484_2	green_zeysky	SES_2n	Amur_Basin_2n	54.195031	127.12561	2	2	0,46	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079484_2_1.fq.gz	ERS18382761				
MW0079485	MW0079485	yes	yes	yes	yes	yes		MW0079485	green_zeysky	SES_2n	Amur_Basin_2n	54.101409	127.268292	2	2	0,31	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a28	ERS18382762				
MW0079485_2	MW0079485_2	yes	yes	yes	yes	yes		MW0079485	green_zeysky	SES_2n	Amur_Basin_2n	54.101409	127.268292	2	2	0,39	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079485_2_1.fq.gz	ERS18382763				
MW0079486_2	MW0079486_2	yes	no	no	no				exclude	exclude	exclude	70.686846	127.354681	unsure	4	0,26	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079486_2_1.fq.gz	ERS18382764				
